#
# Andromeda
#
Cyg Gamma-37,Cyg Eta-21
Deneb,Cyg Gamma-37
Cyg Delta-18,Cyg Gamma-37
Cyg Gamma-37,Cyg Epsilo-53
#   Wings
Cyg Delta-18,Cyg Kappa-1
Cyg Kappa-1,Cyg Iota2-10
Cyg Iota2-10,Cyg 30
Cyg 30,Deneb
Cyg Epsilo-53,Cyg Zeta-64
Cyg Zeta-64,Cyg Nu-58
Cyg Nu-58,Deneb
#   Feet
Deneb,Cyg Xi-62
Cyg Nu-58,Cyg Sigma-67
Cyg Sigma-67,Cyg Tau-65
#
# Delphinus
#
Del Gamma1-12,Svalocin
Svalocin,Rotanev
Rotanev,Del Eta-3
Del Eta-3,Del Epsilon-2
Del Epsilon-2,Del Kappa-7
Del Kappa-7,Del Iota-5
Del Iota-5,Del Theta-8
Del Theta-8,Del Delta-11
Del Delta-11,Del Gamma1-12
#
# Dorado
#
Dor Gamma,Dor Alpha
Dor Alpha,Dor Zeta
Dor Zeta,Dor Beta
Dor Beta,Dor Alpha
Dor Beta,Dor Delta
#   Fudged with Eta2 since the real star is missing
Dor Beta,Dor Eta2
Dor Eta2,Dor Delta
#
# Draco
#
Dra Nu1-24,Alwaid
Alwaid,Rastaban
Rastaban,Dra Xi-32
Dra Xi-32,Dra Nu1-24
Dra Xi-32,Dra Delta-57
Dra Delta-57,Dra Epsilo-63
Dra Delta-57,Dra Phi-43
Dra Phi-43,Dra Chi-44
Dra Phi-43,Dra Zeta-22
Dra Zeta-22,Dra Eta-14
Dra Eta-14,Dra Theta-13
Dra Theta-13,Dra Iota-12
Dra Iota-12,Thuban
Thuban,Dra Kappa-5
Dra Kappa-5,Dra Lambda-1
#
# Equuleus
#
#   Diverges from Rey
Equ Delta-7,Equ Beta-10
Equ Beta-10,Equ Alpha-8
Equ Alpha-8,Equ Gamma-5
#
# Eridanus
#
Eri Lambda-69,Cursa
Cursa,Eri Omega-61
Eri Omega-61,Eri Mu-57
Eri Mu-57,Eri Nu-48
Eri Nu-48,Eri Omicr2-40
Eri Omicr2-40,Zaurak
Zaurak,Eri Pi-26
Eri Pi-26,Eri Delta-23
Eri Delta-23,Eri Epsilo-18
Eri Epsilo-18,Eri Eta-3
Eri Eta-3,Eri Tau1-1
Eri Tau1-1,Eri Tau2-2
Eri Tau2-2,Eri Tau3-11
Eri Tau3-11,Eri 15
Eri 15,Eri Tau5-19
Eri Tau5-19,Eri Tau6-27
Eri Tau6-27,Eri Tau9-36
Eri Tau9-36,Eri Upsil2-52
Eri Upsil2-52,Eri Upsil2-52
Eri Upsil2-52,Eri 43
Eri 43,Eri 43
Eri 43,For Chi3
For Chi3,Hor Delta
Hor Delta,Eri Theta2
Eri Theta2,Eri Theta2
Eri Theta2,Eri Iota
Eri Iota,Eri Kappa
Eri Kappa,Eri Kappa
Eri Kappa,Eri Phi
Eri Phi,Eri Chi
Eri Chi,Achernar
#
# Fornax
#
For Alpha,For Beta
For Beta,For Nu
#
# Gemini
#   Pollux
Pollux,Gem Upsilo-69
Gem Upsilo-69,Gem Kappa-77
Gem Upsilo-69,Gem Iota-60
Gem Upsilo-69,Wasat
Wasat,Gem Lambda-54
Wasat,Gem Zeta-43
Gem Zeta-43,Gem Gamma-24
Gem Lambda-54,Gem Xi-31
#   Castor
Gem Rho-62,Castor
Gem Tau-46,Gem Rho-62
Gem Tau-46,Gem Iota-60
Gem Tau-46,Gem Theta-34
MEbsuta,Gem Tau-46
Gem Mu-13,MEbsuta
Gem Nu-18,MEbsuta
Gem Eta-7,Gem Mu-13
#
# Grus
#
Gru Gamma,Gru Lambda
Gru Lambda,Gru Alpha
Gru Alpha,Gru Delta1
Gru Delta1,Gru Theta
Gru Theta,Gru Iota
Gru Iota,Gru Beta
Gru Beta,Gru Alpha
Gru Beta,Gru Epsilon
Gru Beta,Gru Zeta
#
# Hercules
#
#   Head
Her Pi-67,Her Eta-44
Her Pi-67,Her Epsilo-58
Her Epsilo-58,Her Zeta-40
Her Eta-44,Her Zeta-40
#   Arms/Club
Her Pi-67,Her Rho-75
Her Iota-85,Her Theta-91
Her Theta-91,Her Rho-75
Her Iota-85,Her 42
Her 42,Her Tau-22
Her Sigma-35,Her Tau-22
Her Sigma-35,Her Iota-85
